"gene","Gene name","log2FoldChange","padj"
"ENSG00000100092","SH3BP1",0.986572294781659,0.0677244853723934
"ENSG00000102312","PORCN",1.9943281665232e-06,0.856324911831098
"ENSG00000125354","SEPTIN6",-1.31568492696715e-06,0.844000662885879
"ENSG00000008128","CDK11A",-1.69953074561042e-06,0.76949264179558
"ENSG00000171680","PLEKHG5",2.54822335285554e-06,0.539516729320828
"ENSG00000011021","CLCN6",-6.37453914405229e-06,0.530664136786083
"ENSG00000116731","PRDM2",-5.8845442739551e-06,0.546455537690675
"ENSG00000117632","STMN1",-2.1471176983496e-06,0.821278455836756
"ENSG00000159023","EPB41",3.08949708832808e-06,0.644113206483905
"ENSG00000086015","MAST2",-4.87849466346979e-06,0.704083926954378
"ENSG00000078618","NRDC",3.60285956702726e-05,0.726508306908331
"ENSG00000118473","SGIP1",1.06824146236792e-06,0.723514968969441
"ENSG00000160767","ENTREP3",-7.29454719353823e-07,0.955866155040619
"ENSG00000143190","POU2F1",-4.02885204723601e-06,0.65881220941344
"ENSG00000077157","PPP1R12B",-1.17896881521939,0.0366252992096733
"ENSG00000154358","OBSCN",1.8663350339586,0.00710819095403561
"ENSG00000075340","ADD2",-2.63535606947651e-07,0.965902538498965
"ENSG00000169554","ZEB2",-1.08916911476351,0.0123288083972746
"ENSG00000144283","PKP4",-8.38439194265692e-06,0.496599055193532
"ENSG00000114423","CBLB",7.91473863660885e-07,0.955842786740763
"ENSG00000172493","AFF1",2.50487959553359e-06,0.833079941601342
"ENSG00000038382","TRIO",-4.11165777001037e-06,0.552419118174841
"ENSG00000123213","NLN",2.96302521637502e-05,0.367507911525094
"ENSG00000124813","RUNX2",6.41917539035011e-07,0.907266246683942
"ENSG00000105997","HOXA3",6.27102167832096e-07,0.912254172697434
"ENSG00000005483","KMT2E",-6.15767016609551e-06,0.723441525404219
"ENSG00000174469","CNTNAP2",-4.14414067141695e-07,0.8955495743013
"ENSG00000105983","LMBR1",1.92061133479669e-06,0.897203668200854
"ENSG00000077782","FGFR1",5.24740221135815e-06,0.389200983755019
"ENSG00000165219","GAPVD1",-2.40519032580543e-06,0.719685517791622
"ENSG00000165802","NSMF",8.8218565667994e-07,0.923010209860412
"ENSG00000151474","FRMD4A",6.48727998456631e-07,0.931740427157447
"ENSG00000148516","ZEB1",-4.12950551361419e-06,0.632980589288513
"ENSG00000095637","SORBS1",-1.47921015962038e-06,0.733524848801444
"ENSG00000166833","NAV2",-9.56216158843824e-06,0.385236181682831
"ENSG00000137474","MYO7A",-8.4057429565994e-07,0.84573898165798
"ENSG00000151067","CACNA1C",-2.31387835715782e-06,0.524043573300708
"ENSG00000161813","LARP4",-1.2163224447605e-06,0.941498943432702
"ENSG00000073910","FRY",2.44367159547976e-06,0.764550052474912
"ENSG00000139737","SLAIN1",-1.06999424808478e-06,0.78113540917957
"ENSG00000080823","MOK",-7.16797222316729e-07,0.958170708017985
"ENSG00000128739","SNRPN",-8.84777145184373e-07,0.937178187368798
"ENSG00000166710","B2M",4.72408803691375e-06,0.630793077359596
"ENSG00000078328","RBFOX1",5.10618366711353e-07,0.814734906805451
"ENSG00000102908","NFAT5",1.06309116679179e-06,0.938294304578402
"ENSG00000083454","P2RX5",5.31144391136142e-07,0.854877424371188
"ENSG00000141027","NCOR1",-4.39461587712187e-06,0.757548913524024
"ENSG00000134769","DTNA",2.30565604285737e-07,0.981525829980312
"ENSG00000099338","CATSPERG",-6.72149158837957e-07,0.913279644966082
"ENSG00000079385","CEACAM1",-6.52866208381234e-07,0.0127701759252183
"ENSG00000088367","EPB41L1",-4.81165522553981e-07,0.910565304440272
"ENSG00000026036","RTEL1-TNFRSF6B",-1.81468998395207e-06,0.794117378020539
"ENSG00000159140","SON",2.70438101045185e-05,0.942527956026181
"ENSG00000100345","MYH9",1.02270100171754e-06,0.857810870700123
"ENSG00000100201","DDX17",-4.7288426874733e-06,0.484763591590752
"ENSG00000100197","CYP2D6",-3.76559464256935e-09,0.999425484804929
"ENSG00000047648","ARHGAP6",-1.79066391759491e-06,0.845712519951885
"ENSG00000147044","CASK",-5.74391202277055e-06,0.552419118174841
